Filename, Last modified, Upstream Last modified, Up to date
l10n/override/ja_JP/layouts/partials/footer.html, 2021-06-29 05:00:15 +0000, 2021-06-29 04:46:40 +0000, OK
l10n/override/ja_JP/config.toml, 2021-06-15 14:39:52 +0000, 2021-06-30 08:38:56 +0000, NG
